,date,code,presettle,open,high,low,close,settle,volume,amount,oi,factor,dlv_day,dlv_week,
0,20150416,IC1505,7818.6,7681,7790,7480.2,7707.8,7642.8,116888,17928587.99,6643,1,0,1,
1,20150417,IC1505,7642.8,7722,7918.8,7631.2,7758.2,7803.4,114214,17813998.18,9144,1,1,1,
2,20150420,IC1505,7803.4,7760,7857,7582,7622.2,7621.2,98781,15254160.82,10706,1,0,0,
3,20150421,IC1505,7621.2,7650.2,8147,7640.2,8140.4,8055.6,132545,20937525.85,16732,1,0,0,
4,20150422,IC1505,8055.6,8158,8237.8,8104.4,8189.8,8197.2,121034,19763685.17,14854,1,0,0,
5,20150423,IC1505,8197.2,8193,8378.8,8160.4,8265.6,8266.4,132278,21853638.91,14805,1,0,0,
6,20150424,IC1505,8266.4,8247.8,8349.8,8123.8,8327.2,8307.6,126381,20778778.6,14603,1,0,0,
7,20150427,IC1505,8307.6,8368,8548,8292,8347.2,8361.6,125335,21056365.71,15187,1,0,0,
8,20150428,IC1505,8361.6,8308,8419,8011.6,8147,8087.4,164120,26892373.68,15900,1,0,0,
9,20150429,IC1505,8087.4,8138,8309,8079,8302.2,8276.2,134158,22060645.09,17677,1,0,0,
10,20150430,IC1505,8276.2,8320,8408,8291.2,8338.8,8355.4,120118,20066017.77,16354,1,0,0,
11,20150504,IC1505,8355.4,8370.2,8527.4,8202.4,8347.2,8322.4,101734,16908235.35,16271,1,0,0,
12,20150505,IC1505,8322.4,8334.8,8345,8090,8145,8139.2,109987,18081200.27,15884,1,0,0,
13,20150506,IC1505,8139.2,8168,8280.6,7970,8040.8,8058.4,111973,18309550.72,15456,1,0,0,
14,20150507,IC1505,8058.4,8020,8068,7901,7911.4,7928.6,109599,17460415.35,15127,1,0,0,
15,20150508,IC1505,7928.6,7933.4,8171.4,7921,8171.2,8103,121062,19436851.36,16258,1,0,0,
16,20150511,IC1505,8103,8170,8508,8144,8489.8,8442.6,124722,20742989.84,16314,1,0,1,
17,20150512,IC1505,8442.6,8499.6,8648,8415.4,8647.8,8597.6,152019,25910436.38,14671,1,0,1,
18,20150513,IC1505,8597.6,8595,8779,8492,8695.8,8690.8,189658,32836694.88,14624,1,0,1,
19,20150514,IC1505,8690.8,8689,8813.6,8645.2,8760.4,8754.2,112711,19694181.61,8971,1,0,1,1
20,20150515,IC1506,8593.8,8610,8718,8482,8579.8,8651.4,182662,31349133.68,28064,1.018664619,1,1,
21,20150518,IC1506,8651.4,8640.6,8822.2,8580,8798.4,8797,202968,35519413.94,32183,1.018664619,0,0,
22,20150519,IC1506,8797,8805.6,9154.4,8736.2,9120.8,9102.2,228488,40824663.42,33556,1.018664619,0,0,
23,20150520,IC1506,9102.2,9121.8,9463.6,9111.2,9286.8,9311.4,239847,44755466.13,35302,1.018664619,0,0,
24,20150521,IC1506,9311.4,9311.4,9755,9301,9734.6,9630,256460,48754905.81,38615,1.018664619,0,0,
25,20150522,IC1506,9630,9783,9867.4,9525,9741.2,9740.2,285617,55343653.97,37707,1.018664619,0,0,
26,20150525,IC1506,9740.2,9610,10020.8,9455.4,9966.6,9979.4,262755,51735788,39837,1.018664619,0,0,
27,20150526,IC1506,9979.4,9988,10535,9986.2,10532.2,10407.4,258963,53256937.74,40848,1.018664619,0,0,
28,20150527,IC1506,10407.4,10598.4,10718,10366,10552,10621.4,307346,64688896.5,42800,1.018664619,0,0,
29,20150528,IC1506,10621.4,10580,10758.8,9818,9977.2,10126.8,360766,75149489.42,40149,1.018664619,0,0,
30,20150529,IC1506,10126.8,10126.8,10370,9901,10121,10127,354628,72048918.05,40059,1.018664619,0,0,
31,20150601,IC1506,10127,10170.2,11089.8,10168,11025.6,10865.8,257035,54454369.86,45365,1.018664619,0,0,
